Felting Needle Holder,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V1.0,Last Updated: 2024-May-16, $0.95 ,0.00,38,,,,,,,
Commercial Parts:,,,,,,,,,,,
"Part type (Electrical, Mechanical, Sanitization, etc)",Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
<None>,,,,,,,,,,,
,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
FNH_B50_Bottom.stl,Bottom half of ball,1,14, $0.35 ,,,,,,,
FNH_B50_Top.stl,Top half of ball,1,13, $0.33 ,,,,,,,
FNH_Connectort.stl,Threaded connector,1,4, $0.10 ,,,,,,,
FNH_Cover.stl,Needle cover,1,7, $0.18 ,,,,,,,
,,,, $-   ,,,,,,,
,,,Total Print Cost:, $0.95 ,,,,,,,
Tools for Assembly,,,,,,,,,,,
<None>,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
,,,,,,,,,,,
Felting Needles,https://www.amazon.ca/Dimensions-Needlecrafts-Feltworks-Replacement-Felting/dp/B004W8TGIS,,,,,,,,,,
